ID;cabecalho_requisicao;statusCoupa;documentoSap;statusIntegracao
22222222-2222-2222-2222-000000000001;1000000001;Aprovado;5100000001;Integrado
22222222-2222-2222-2222-000000000002;1000000002;Aprovacao pendente;;Pendente
22222222-2222-2222-2222-000000000003;1000000003;Rascunho;;Nao integrado
22222222-2222-2222-2222-000000000004;1000000004;Solicitado;;Pendente
22222222-2222-2222-2222-000000000005;1000000005;Aprovado;5100000005;Integrado
22222222-2222-2222-2222-000000000006;1000000006;Abandonado;;Cancelado
22222222-2222-2222-2222-000000000007;1000000007;Recebido;5100000007;Integrado
22222222-2222-2222-2222-000000000008;1000000008;Aprovado;5100000008;Integrado
22222222-2222-2222-2222-000000000009;1000000009;Aprovacao pendente;;Pendente
22222222-2222-2222-2222-000000000010;1000000010;Solicitado;;Nao integrado
